PING 172.44.0.2 (172.44.0.2) 512(540) bytes of data.
520 bytes from 172.44.0.2: icmp_seq=1 ttl=64 time=0.288 ms
520 bytes from 172.44.0.2: icmp_seq=2 ttl=64 time=0.336 ms
520 bytes from 172.44.0.2: icmp_seq=3 ttl=64 time=0.371 ms
520 bytes from 172.44.0.2: icmp_seq=4 ttl=64 time=0.303 ms
520 bytes from 172.44.0.2: icmp_seq=5 ttl=64 time=0.331 ms
520 bytes from 172.44.0.2: icmp_seq=6 ttl=64 time=0.306 ms
520 bytes from 172.44.0.2: icmp_seq=7 ttl=64 time=0.344 ms
520 bytes from 172.44.0.2: icmp_seq=8 ttl=64 time=0.398 ms
520 bytes from 172.44.0.2: icmp_seq=9 ttl=64 time=0.383 ms
520 bytes from 172.44.0.2: icmp_seq=10 ttl=64 time=0.307 ms
520 bytes from 172.44.0.2: icmp_seq=11 ttl=64 time=0.416 ms
520 bytes from 172.44.0.2: icmp_seq=12 ttl=64 time=0.305 ms
520 bytes from 172.44.0.2: icmp_seq=13 ttl=64 time=0.337 ms
520 bytes from 172.44.0.2: icmp_seq=14 ttl=64 time=0.322 ms
520 bytes from 172.44.0.2: icmp_seq=15 ttl=64 time=0.382 ms
520 bytes from 172.44.0.2: icmp_seq=16 ttl=64 time=0.302 ms
520 bytes from 172.44.0.2: icmp_seq=17 ttl=64 time=0.338 ms
520 bytes from 172.44.0.2: icmp_seq=18 ttl=64 time=0.338 ms
520 bytes from 172.44.0.2: icmp_seq=19 ttl=64 time=0.372 ms
520 bytes from 172.44.0.2: icmp_seq=20 ttl=64 time=0.262 ms
520 bytes from 172.44.0.2: icmp_seq=21 ttl=64 time=0.640 ms
520 bytes from 172.44.0.2: icmp_seq=22 ttl=64 time=0.478 ms
520 bytes from 172.44.0.2: icmp_seq=23 ttl=64 time=0.304 ms
520 bytes from 172.44.0.2: icmp_seq=24 ttl=64 time=0.356 ms
520 bytes from 172.44.0.2: icmp_seq=25 ttl=64 time=0.331 ms
520 bytes from 172.44.0.2: icmp_seq=26 ttl=64 time=0.238 ms
520 bytes from 172.44.0.2: icmp_seq=27 ttl=64 time=0.239 ms
520 bytes from 172.44.0.2: icmp_seq=28 ttl=64 time=0.213 ms
520 bytes from 172.44.0.2: icmp_seq=29 ttl=64 time=0.299 ms
520 bytes from 172.44.0.2: icmp_seq=30 ttl=64 time=0.371 ms
